AnnoS;AteneoCOD;AteneoNOME;SESSO;Lau
2020;101;Torino;F;9109
2020;101;Torino;M;5845
2020;102;Torino Politecnico;F;2301
2020;102;Torino Politecnico;M;5363
2020;201;Piemonte Orientale;F;1372
2020;201;Piemonte Orientale;M;748
2020;401;Bra Scienze Gastronomiche;F;66
2020;401;Bra Scienze Gastronomiche;M;48
2020;701;Aosta;F;188
2020;701;Aosta;M;78
2020;1001;Genova;F;3238
2020;1001;Genova;M;2470
2020;1201;Castellanza LIUC;F;318
2020;1201;Castellanza LIUC;M;467
2020;1202;Insubria;F;1149
2020;1202;Insubria;M;895
2020;1301;Novedrate e-Campus - telematica;F;2710
2020;1301;Novedrate e-Campus - telematica;M;2131
2020;1501;Milano;F;7074
2020;1501;Milano;M;4622
2020;1502;Milano Politecnico;F;4471
2020;1502;Milano Politecnico;M;7780
2020;1503;Milano Bocconi;F;2057
2020;1503;Milano Bocconi;M;2721
2020;1504;Milano Cattolica;F;7545
2020;1504;Milano Cattolica;M;3741
2020;1505;Milano IULM;F;1274
2020;1505;Milano IULM;M;471
2020;1508;Milano San Raffaele;F;451
2020;1508;Milano San Raffaele;M;229
2020;1509;Milano Bicocca;F;4726
2020;1509;Milano Bicocca;M;2776
2020;1510;Rozzano (MI) Humanitas University;F;118
2020;1510;Rozzano (MI) Humanitas University;M;64
2020;1601;Bergamo;F;2556
2020;1601;Bergamo;M;1438
2020;1701;Brescia;F;1151
2020;1701;Brescia;M;1340
2020;1801;Pavia;F;2745
2020;1801;Pavia;M;1974
2020;2101;Bolzano;F;579
2020;2101;Bolzano;M;246
2020;2201;Trento;F;2007
2020;2201;Trento;M;1857
2020;2301;Verona;F;3473
2020;2301;Verona;M;1736
2020;2701;Venezia Cà Foscari;F;3568
2020;2701;Venezia Cà Foscari;M;1814
2020;2702;Venezia Iuav;F;629
2020;2702;Venezia Iuav;M;522
2020;2801;Padova;F;7510
2020;2801;Padova;M;6050
2020;3001;Udine;F;1695
2020;3001;Udine;M;1392
2020;3201;Trieste;F;1704
2020;3201;Trieste;M;1286
2020;3401;Parma;F;3060
2020;3401;Parma;M;2155
2020;3601;Modena e Reggio Emilia;F;2946
2020;3601;Modena e Reggio Emilia;M;2211
2020;3701;Bologna;F;10852
2020;3701;Bologna;M;8230
2020;3801;Ferrara;F;2372
2020;3801;Ferrara;M;1533
2020;4101;Urbino;F;1801
2020;4101;Urbino;M;964
2020;4201;Marche;F;1433
2020;4201;Marche;M;1545
2020;4301;Macerata;F;1551
2020;4301;Macerata;M;506
2020;4302;Camerino;F;469
2020;4302;Camerino;M;426
2020;4801;Firenze;F;5657
2020;4801;Firenze;M;4111
2020;4804;Firenze IUL - telematica;F;50
2020;4804;Firenze IUL - telematica;M;16
2020;5001;Pisa;F;3813
2020;5001;Pisa;M;3794
2020;5201;Siena;F;1755
2020;5201;Siena;M;1188
2020;5202;Siena Stranieri;F;380
2020;5202;Siena Stranieri;M;69
2020;5401;Perugia;F;2535
2020;5401;Perugia;M;1783
2020;5403;Perugia Stranieri;F;184
2020;5403;Perugia Stranieri;M;64
2020;5601;Tuscia;F;745
2020;5601;Tuscia;M;798
2020;5801;Roma La Sapienza;F;10489
2020;5801;Roma La Sapienza;M;7565
2020;5802;Roma Tor Vergata;F;2864
2020;5802;Roma Tor Vergata;M;2441
2020;5803;Roma LUMSA;F;1021
2020;5803;Roma LUMSA;M;376
2020;5805;Roma LUISS;F;1368
2020;5805;Roma LUISS;M;1692
2020;5806;Roma Foro Italico;F;164
2020;5806;Roma Foro Italico;M;403
2020;5807;Roma Tre;F;3594
2020;5807;Roma Tre;M;2156
2020;5808;Roma Biomedico;F;355
2020;5808;Roma Biomedico;M;182
2020;5809;Roma UNINT;F;499
2020;5809;Roma UNINT;M;108
2020;5810;Roma Marconi - telematica;F;1027
2020;5810;Roma Marconi - telematica;M;942
2020;5811;Roma UNITELMA - telematica;F;185
2020;5811;Roma UNITELMA - telematica;M;201
2020;5812;Roma Europea;F;221
2020;5812;Roma Europea;M;89
2020;5813;Roma UNINETTUNO - telematica;F;243
2020;5813;Roma UNINETTUNO - telematica;M;332
2020;5814;Roma  Mercatorum - telematica;F;215
2020;5814;Roma  Mercatorum - telematica;M;714
2020;5816;Roma San Raffaele - telematica;F;612
2020;5816;Roma San Raffaele - telematica;M;767
2020;5817;Roma Link Campus;F;96
2020;5817;Roma Link Campus;M;263
2020;6001;Cassino;F;831
2020;6001;Cassino;M;560
2020;6201;Sannio;F;431
2020;6201;Sannio;M;362
2020;6202;Benevento Giustino Fortunato - telematica;F;158
2020;6202;Benevento Giustino Fortunato - telematica;M;188
2020;6301;Napoli Federico II;F;7324
2020;6301;Napoli Federico II;M;5740
2020;6302;Napoli Parthenope;F;1005
2020;6302;Napoli Parthenope;M;1158
2020;6303;Napoli L'Orientale;F;1622
2020;6303;Napoli L'Orientale;M;374
2020;6304;Napoli Benincasa;F;1698
2020;6304;Napoli Benincasa;M;257
2020;6306;Napoli Vanvitelli;F;2593
2020;6306;Napoli Vanvitelli;M;1641
2020;6307;Napoli Pegaso - telematica;F;5086
2020;6307;Napoli Pegaso - telematica;M;6292
2020;6501;Salerno;F;3303
2020;6501;Salerno;M;2543
2020;6601;L'Aquila;F;1756
2020;6601;L'Aquila;M;1273
2020;6701;Teramo;F;480
2020;6701;Teramo;M;426
2020;6901;Chieti e Pescara;F;2919
2020;6901;Chieti e Pescara;M;1498
2020;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;9
2020;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;7
2020;7001;Molise;F;707
2020;7001;Molise;M;442
2020;7101;Foggia;F;1234
2020;7101;Foggia;M;659
2020;7201;Bari;F;4694
2020;7201;Bari;M;2542
2020;7202;Bari Politecnico;F;658
2020;7202;Bari Politecnico;M;1203
2020;7203;Casamassima - G.Degennaro;F;137
2020;7203;Casamassima - G.Degennaro;M;204
2020;7501;Salento;F;1780
2020;7501;Salento;M;935
2020;7601;Basilicata;F;496
2020;7601;Basilicata;M;357
2020;7801;Calabria;F;2590
2020;7801;Calabria;M;1784
2020;7901;Catanzaro;F;597
2020;7901;Catanzaro;M;376
2020;8001;Reggio Calabria;F;370
2020;8001;Reggio Calabria;M;378
2020;8003;Reggio Calabria - Dante Alighieri;F;136
2020;8003;Reggio Calabria - Dante Alighieri;M;26
2020;8201;Palermo;F;4627
2020;8201;Palermo;M;3000
2020;8301;Messina;F;2486
2020;8301;Messina;M;1383
2020;8601;Enna KORE;F;677
2020;8601;Enna KORE;M;304
2020;8701;Catania;F;3837
2020;8701;Catania;M;2590
2020;9001;Sassari;F;1537
2020;9001;Sassari;M;776
2020;9201;Cagliari;F;2266
2020;9201;Cagliari;M;1460
2019;101;Torino;F;8537
2019;101;Torino;M;5370
2019;102;Torino Politecnico;F;2261
2019;102;Torino Politecnico;M;5258
2019;201;Piemonte Orientale;F;1539
2019;201;Piemonte Orientale;M;824
2019;401;Bra Scienze Gastronomiche;F;44
2019;401;Bra Scienze Gastronomiche;M;59
2019;701;Aosta;F;207
2019;701;Aosta;M;59
2019;1001;Genova;F;3320
2019;1001;Genova;M;2474
2019;1201;Castellanza LIUC;F;226
2019;1201;Castellanza LIUC;M;436
2019;1202;Insubria;F;1124
2019;1202;Insubria;M;746
2019;1301;Novedrate e-Campus - telematica;F;1485
2019;1301;Novedrate e-Campus - telematica;M;1262
2019;1501;Milano;F;7192
2019;1501;Milano;M;4684
2019;1502;Milano Politecnico;F;4450
2019;1502;Milano Politecnico;M;7838
2019;1503;Milano Bocconi;F;2168
2019;1503;Milano Bocconi;M;2548
2019;1504;Milano Cattolica;F;6799
2019;1504;Milano Cattolica;M;3546
2019;1505;Milano IULM;F;1090
2019;1505;Milano IULM;M;398
2019;1508;Milano San Raffaele;F;420
2019;1508;Milano San Raffaele;M;225
2019;1509;Milano Bicocca;F;4461
2019;1509;Milano Bicocca;M;2632
2019;1510;Rozzano (MI) Humanitas University;F;51
2019;1510;Rozzano (MI) Humanitas University;M;36
2019;1601;Bergamo;F;2481
2019;1601;Bergamo;M;1389
2019;1701;Brescia;F;1193
2019;1701;Brescia;M;1390
2019;1801;Pavia;F;2587
2019;1801;Pavia;M;1994
2019;2101;Bolzano;F;470
2019;2101;Bolzano;M;235
2019;2201;Trento;F;1919
2019;2201;Trento;M;1782
2019;2301;Verona;F;3394
2019;2301;Verona;M;1731
2019;2701;Venezia Cà Foscari;F;3381
2019;2701;Venezia Cà Foscari;M;1649
2019;2702;Venezia Iuav;F;659
2019;2702;Venezia Iuav;M;534
2019;2801;Padova;F;7405
2019;2801;Padova;M;5951
2019;3001;Udine;F;1732
2019;3001;Udine;M;1412
2019;3201;Trieste;F;1753
2019;3201;Trieste;M;1250
2019;3401;Parma;F;2947
2019;3401;Parma;M;2212
2019;3601;Modena e Reggio Emilia;F;2858
2019;3601;Modena e Reggio Emilia;M;2246
2019;3701;Bologna;F;10877
2019;3701;Bologna;M;8152
2019;3801;Ferrara;F;1772
2019;3801;Ferrara;M;1386
2019;4101;Urbino;F;1798
2019;4101;Urbino;M;999
2019;4201;Marche;F;1415
2019;4201;Marche;M;1544
2019;4301;Macerata;F;1518
2019;4301;Macerata;M;518
2019;4302;Camerino;F;490
2019;4302;Camerino;M;431
2019;4801;Firenze;F;5706
2019;4801;Firenze;M;3560
2019;4804;Firenze IUL - telematica;F;37
2019;4804;Firenze IUL - telematica;M;9
2019;5001;Pisa;F;3993
2019;5001;Pisa;M;3753
2019;5201;Siena;F;1819
2019;5201;Siena;M;1207
2019;5202;Siena Stranieri;F;350
2019;5202;Siena Stranieri;M;66
2019;5401;Perugia;F;2697
2019;5401;Perugia;M;1836
2019;5403;Perugia Stranieri;F;189
2019;5403;Perugia Stranieri;M;73
2019;5601;Tuscia;F;704
2019;5601;Tuscia;M;899
2019;5801;Roma La Sapienza;F;11190
2019;5801;Roma La Sapienza;M;7677
2019;5802;Roma Tor Vergata;F;3116
2019;5802;Roma Tor Vergata;M;3060
2019;5803;Roma LUMSA;F;973
2019;5803;Roma LUMSA;M;381
2019;5805;Roma LUISS;F;1235
2019;5805;Roma LUISS;M;1512
2019;5806;Roma Foro Italico;F;171
2019;5806;Roma Foro Italico;M;365
2019;5807;Roma Tre;F;3537
2019;5807;Roma Tre;M;2278
2019;5808;Roma Biomedico;F;270
2019;5808;Roma Biomedico;M;175
2019;5809;Roma UNINT;F;382
2019;5809;Roma UNINT;M;101
2019;5810;Roma Marconi - telematica;F;815
2019;5810;Roma Marconi - telematica;M;806
2019;5811;Roma UNITELMA - telematica;F;154
2019;5811;Roma UNITELMA - telematica;M;167
2019;5812;Roma Europea;F;150
2019;5812;Roma Europea;M;72
2019;5813;Roma UNINETTUNO - telematica;F;190
2019;5813;Roma UNINETTUNO - telematica;M;241
2019;5814;Roma  Mercatorum - telematica;F;130
2019;5814;Roma  Mercatorum - telematica;M;545
2019;5815;Roma UNICUSANO - telematica;F;446
2019;5815;Roma UNICUSANO - telematica;M;557
2019;5816;Roma San Raffaele - telematica;F;426
2019;5816;Roma San Raffaele - telematica;M;412
2019;5817;Roma Link Campus;F;118
2019;5817;Roma Link Campus;M;329
2019;6001;Cassino;F;825
2019;6001;Cassino;M;701
2019;6201;Sannio;F;443
2019;6201;Sannio;M;434
2019;6202;Benevento Giustino Fortunato - telematica;F;121
2019;6202;Benevento Giustino Fortunato - telematica;M;215
2019;6301;Napoli Federico II;F;7385
2019;6301;Napoli Federico II;M;5832
2019;6302;Napoli Parthenope;F;1037
2019;6302;Napoli Parthenope;M;1252
2019;6303;Napoli L'Orientale;F;1540
2019;6303;Napoli L'Orientale;M;328
2019;6304;Napoli Benincasa;F;1531
2019;6304;Napoli Benincasa;M;243
2019;6306;Napoli Vanvitelli;F;2989
2019;6306;Napoli Vanvitelli;M;1902
2019;6307;Napoli Pegaso - telematica;F;3852
2019;6307;Napoli Pegaso - telematica;M;5331
2019;6501;Salerno;F;3476
2019;6501;Salerno;M;2573
2019;6601;L'Aquila;F;1827
2019;6601;L'Aquila;M;1373
2019;6701;Teramo;F;565
2019;6701;Teramo;M;435
2019;6901;Chieti e Pescara;F;3480
2019;6901;Chieti e Pescara;M;1660
2019;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;8
2019;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;6
2019;7001;Molise;F;749
2019;7001;Molise;M;468
2019;7101;Foggia;F;1200
2019;7101;Foggia;M;661
2019;7201;Bari;F;4766
2019;7201;Bari;M;2710
2019;7202;Bari Politecnico;F;677
2019;7202;Bari Politecnico;M;1313
2019;7203;Casamassima - G.Degennaro;F;150
2019;7203;Casamassima - G.Degennaro;M;215
2019;7501;Salento;F;2005
2019;7501;Salento;M;1104
2019;7601;Basilicata;F;540
2019;7601;Basilicata;M;367
2019;7801;Calabria;F;2655
2019;7801;Calabria;M;1824
2019;7901;Catanzaro;F;976
2019;7901;Catanzaro;M;574
2019;8001;Reggio Calabria;F;359
2019;8001;Reggio Calabria;M;376
2019;8003;Reggio Calabria - Dante Alighieri;F;142
2019;8003;Reggio Calabria - Dante Alighieri;M;25
2019;8201;Palermo;F;4462
2019;8201;Palermo;M;3031
2019;8301;Messina;F;2420
2019;8301;Messina;M;1458
2019;8601;Enna KORE;F;785
2019;8601;Enna KORE;M;346
2019;8701;Catania;F;3826
2019;8701;Catania;M;2437
2019;9001;Sassari;F;1449
2019;9001;Sassari;M;762
2019;9201;Cagliari;F;2465
2019;9201;Cagliari;M;1537
2018;101;Torino;F;8066
2018;101;Torino;M;4924
2018;102;Torino Politecnico;F;2225
2018;102;Torino Politecnico;M;5038
2018;201;Piemonte Orientale;F;1265
2018;201;Piemonte Orientale;M;759
2018;401;Bra Scienze Gastronomiche;F;64
2018;401;Bra Scienze Gastronomiche;M;54
2018;701;Aosta;F;168
2018;701;Aosta;M;57
2018;1001;Genova;F;3429
2018;1001;Genova;M;2605
2018;1201;Castellanza LIUC;F;287
2018;1201;Castellanza LIUC;M;453
2018;1202;Insubria;F;1038
2018;1202;Insubria;M;726
2018;1301;Novedrate e-Campus - telematica;F;1179
2018;1301;Novedrate e-Campus - telematica;M;1000
2018;1501;Milano;F;7137
2018;1501;Milano;M;4506
2018;1502;Milano Politecnico;F;4419
2018;1502;Milano Politecnico;M;7338
2018;1503;Milano Bocconi;F;2111
2018;1503;Milano Bocconi;M;2413
2018;1504;Milano Cattolica;F;6481
2018;1504;Milano Cattolica;M;3484
2018;1505;Milano IULM;F;1049
2018;1505;Milano IULM;M;374
2018;1508;Milano San Raffaele;F;357
2018;1508;Milano San Raffaele;M;228
2018;1509;Milano Bicocca;F;4485
2018;1509;Milano Bicocca;M;2588
2018;1510;Rozzano (MI) Humanitas University;F;19
2018;1510;Rozzano (MI) Humanitas University;M;3
2018;1601;Bergamo;F;2374
2018;1601;Bergamo;M;1155
2018;1701;Brescia;F;1196
2018;1701;Brescia;M;1308
2018;1801;Pavia;F;2572
2018;1801;Pavia;M;1896
2018;2101;Bolzano;F;487
2018;2101;Bolzano;M;216
2018;2201;Trento;F;1899
2018;2201;Trento;M;1804
2018;2301;Verona;F;3281
2018;2301;Verona;M;1603
2018;2701;Venezia Cà Foscari;F;3591
2018;2701;Venezia Cà Foscari;M;1659
2018;2702;Venezia Iuav;F;650
2018;2702;Venezia Iuav;M;602
2018;2801;Padova;F;6943
2018;2801;Padova;M;5764
2018;3001;Udine;F;1568
2018;3001;Udine;M;1372
2018;3201;Trieste;F;1718
2018;3201;Trieste;M;1245
2018;3401;Parma;F;2657
2018;3401;Parma;M;1892
2018;3601;Modena e Reggio Emilia;F;2517
2018;3601;Modena e Reggio Emilia;M;2122
2018;3701;Bologna;F;10314
2018;3701;Bologna;M;7926
2018;3801;Ferrara;F;1800
2018;3801;Ferrara;M;1279
2018;4101;Urbino;F;1653
2018;4101;Urbino;M;972
2018;4201;Marche;F;1487
2018;4201;Marche;M;1557
2018;4301;Macerata;F;1474
2018;4301;Macerata;M;462
2018;4302;Camerino;F;498
2018;4302;Camerino;M;455
2018;4801;Firenze;F;5401
2018;4801;Firenze;M;3503
2018;4804;Firenze IUL - telematica;F;35
2018;4804;Firenze IUL - telematica;M;9
2018;5001;Pisa;F;3899
2018;5001;Pisa;M;3500
2018;5201;Siena;F;1761
2018;5201;Siena;M;1174
2018;5202;Siena Stranieri;F;323
2018;5202;Siena Stranieri;M;68
2018;5401;Perugia;F;2568
2018;5401;Perugia;M;1740
2018;5403;Perugia Stranieri;F;140
2018;5403;Perugia Stranieri;M;72
2018;5601;Tuscia;F;802
2018;5601;Tuscia;M;804
2018;5801;Roma La Sapienza;F;10595
2018;5801;Roma La Sapienza;M;7307
2018;5802;Roma Tor Vergata;F;3086
2018;5802;Roma Tor Vergata;M;2863
2018;5803;Roma LUMSA;F;1020
2018;5803;Roma LUMSA;M;374
2018;5805;Roma LUISS;F;1206
2018;5805;Roma LUISS;M;1406
2018;5806;Roma Foro Italico;F;153
2018;5806;Roma Foro Italico;M;340
2018;5807;Roma Tre;F;3539
2018;5807;Roma Tre;M;2394
2018;5808;Roma Biomedico;F;269
2018;5808;Roma Biomedico;M;171
2018;5809;Roma UNINT;F;435
2018;5809;Roma UNINT;M;92
2018;5810;Roma Marconi - telematica;F;777
2018;5810;Roma Marconi - telematica;M;803
2018;5811;Roma UNITELMA - telematica;F;165
2018;5811;Roma UNITELMA - telematica;M;200
2018;5812;Roma Europea;F;91
2018;5812;Roma Europea;M;82
2018;5813;Roma UNINETTUNO - telematica;F;221
2018;5813;Roma UNINETTUNO - telematica;M;312
2018;5814;Roma  Mercatorum - telematica;F;25
2018;5814;Roma  Mercatorum - telematica;M;55
2018;5815;Roma UNICUSANO - telematica;F;1476
2018;5815;Roma UNICUSANO - telematica;M;2113
2018;5816;Roma San Raffaele - telematica;F;283
2018;5816;Roma San Raffaele - telematica;M;304
2018;5817;Roma Link Campus;F;148
2018;5817;Roma Link Campus;M;302
2018;6001;Cassino;F;840
2018;6001;Cassino;M;596
2018;6201;Sannio;F;509
2018;6201;Sannio;M;393
2018;6202;Benevento Giustino Fortunato - telematica;F;106
2018;6202;Benevento Giustino Fortunato - telematica;M;181
2018;6301;Napoli Federico II;F;7458
2018;6301;Napoli Federico II;M;5865
2018;6302;Napoli Parthenope;F;1010
2018;6302;Napoli Parthenope;M;1194
2018;6303;Napoli L'Orientale;F;1500
2018;6303;Napoli L'Orientale;M;370
2018;6304;Napoli Benincasa;F;1542
2018;6304;Napoli Benincasa;M;213
2018;6306;Napoli Vanvitelli;F;2616
2018;6306;Napoli Vanvitelli;M;1827
2018;6307;Napoli Pegaso - telematica;F;2671
2018;6307;Napoli Pegaso - telematica;M;3854
2018;6501;Salerno;F;3118
2018;6501;Salerno;M;2307
2018;6601;L'Aquila;F;1828
2018;6601;L'Aquila;M;1231
2018;6701;Teramo;F;575
2018;6701;Teramo;M;402
2018;6901;Chieti e Pescara;F;3193
2018;6901;Chieti e Pescara;M;1595
2018;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;9
2018;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;4
2018;7001;Molise;F;604
2018;7001;Molise;M;412
2018;7101;Foggia;F;1034
2018;7101;Foggia;M;645
2018;7201;Bari;F;4761
2018;7201;Bari;M;2808
2018;7202;Bari Politecnico;F;644
2018;7202;Bari Politecnico;M;1272
2018;7203;Casamassima - G.Degennaro;F;128
2018;7203;Casamassima - G.Degennaro;M;209
2018;7501;Salento;F;2067
2018;7501;Salento;M;1072
2018;7601;Basilicata;F;575
2018;7601;Basilicata;M;376
2018;7801;Calabria;F;2546
2018;7801;Calabria;M;1668
2018;7901;Catanzaro;F;880
2018;7901;Catanzaro;M;568
2018;8001;Reggio Calabria;F;444
2018;8001;Reggio Calabria;M;439
2018;8003;Reggio Calabria - Dante Alighieri;F;174
2018;8003;Reggio Calabria - Dante Alighieri;M;35
2018;8201;Palermo;F;4379
2018;8201;Palermo;M;2760
2018;8301;Messina;F;2572
2018;8301;Messina;M;1334
2018;8601;Enna KORE;F;712
2018;8601;Enna KORE;M;428
2018;8701;Catania;F;3706
2018;8701;Catania;M;2497
2018;9001;Sassari;F;1405
2018;9001;Sassari;M;752
2018;9201;Cagliari;F;2428
2018;9201;Cagliari;M;1623
2017;101;Torino;F;7801
2017;101;Torino;M;4744
2017;102;Torino Politecnico;F;2079
2017;102;Torino Politecnico;M;4617
2017;201;Piemonte Orientale;F;1167
2017;201;Piemonte Orientale;M;659
2017;401;Bra Scienze Gastronomiche;F;53
2017;401;Bra Scienze Gastronomiche;M;52
2017;701;Aosta;F;187
2017;701;Aosta;M;70
2017;1001;Genova;F;3309
2017;1001;Genova;M;2461
2017;1201;Castellanza LIUC;F;222
2017;1201;Castellanza LIUC;M;371
2017;1202;Insubria;F;978
2017;1202;Insubria;M;650
2017;1301;Novedrate e-Campus - telematica;F;860
2017;1301;Novedrate e-Campus - telematica;M;818
2017;1501;Milano;F;7115
2017;1501;Milano;M;4323
2017;1502;Milano Politecnico;F;4038
2017;1502;Milano Politecnico;M;6999
2017;1503;Milano Bocconi;F;2184
2017;1503;Milano Bocconi;M;2323
2017;1504;Milano Cattolica;F;6578
2017;1504;Milano Cattolica;M;3405
2017;1505;Milano IULM;F;954
2017;1505;Milano IULM;M;307
2017;1508;Milano San Raffaele;F;334
2017;1508;Milano San Raffaele;M;195
2017;1509;Milano Bicocca;F;4286
2017;1509;Milano Bicocca;M;2412
2017;1510;Rozzano (MI) Humanitas University;F;13
2017;1510;Rozzano (MI) Humanitas University;M;3
2017;1601;Bergamo;F;2111
2017;1601;Bergamo;M;1048
2017;1701;Brescia;F;1272
2017;1701;Brescia;M;1361
2017;1801;Pavia;F;2527
2017;1801;Pavia;M;1894
2017;2101;Bolzano;F;432
2017;2101;Bolzano;M;179
2017;2201;Trento;F;1838
2017;2201;Trento;M;1689
2017;2301;Verona;F;3203
2017;2301;Verona;M;1609
2017;2701;Venezia Cà Foscari;F;3199
2017;2701;Venezia Cà Foscari;M;1530
2017;2702;Venezia Iuav;F;703
2017;2702;Venezia Iuav;M;592
2017;2801;Padova;F;7227
2017;2801;Padova;M;5495
2017;3001;Udine;F;1579
2017;3001;Udine;M;1248
2017;3201;Trieste;F;1684
2017;3201;Trieste;M;1178
2017;3401;Parma;F;2608
2017;3401;Parma;M;1975
2017;3601;Modena e Reggio Emilia;F;2446
2017;3601;Modena e Reggio Emilia;M;1780
2017;3701;Bologna;F;10272
2017;3701;Bologna;M;7589
2017;3801;Ferrara;F;1692
2017;3801;Ferrara;M;1283
2017;4101;Urbino;F;1640
2017;4101;Urbino;M;930
2017;4201;Marche;F;1432
2017;4201;Marche;M;1550
2017;4301;Macerata;F;1498
2017;4301;Macerata;M;482
2017;4302;Camerino;F;523
2017;4302;Camerino;M;497
2017;4801;Firenze;F;4980
2017;4801;Firenze;M;3296
2017;4804;Firenze IUL - telematica;F;26
2017;5001;Pisa;F;3678
2017;5001;Pisa;M;3395
2017;5201;Siena;F;1622
2017;5201;Siena;M;1163
2017;5202;Siena Stranieri;F;265
2017;5202;Siena Stranieri;M;46
2017;5401;Perugia;F;2407
2017;5401;Perugia;M;1759
2017;5403;Perugia Stranieri;F;138
2017;5403;Perugia Stranieri;M;79
2017;5601;Tuscia;F;594
2017;5601;Tuscia;M;744
2017;5801;Roma La Sapienza;F;11020
2017;5801;Roma La Sapienza;M;7445
2017;5802;Roma Tor Vergata;F;3043
2017;5802;Roma Tor Vergata;M;2888
2017;5803;Roma LUMSA;F;952
2017;5803;Roma LUMSA;M;362
2017;5805;Roma LUISS;F;1115
2017;5805;Roma LUISS;M;1279
2017;5806;Roma Foro Italico;F;167
2017;5806;Roma Foro Italico;M;343
2017;5807;Roma Tre;F;3887
2017;5807;Roma Tre;M;2442
2017;5808;Roma Biomedico;F;258
2017;5808;Roma Biomedico;M;148
2017;5809;Roma UNINT;F;353
2017;5809;Roma UNINT;M;89
2017;5810;Roma Marconi - telematica;F;694
2017;5810;Roma Marconi - telematica;M;765
2017;5811;Roma UNITELMA - telematica;F;134
2017;5811;Roma UNITELMA - telematica;M;176
2017;5812;Roma Europea;F;145
2017;5812;Roma Europea;M;71
2017;5813;Roma UNINETTUNO - telematica;F;189
2017;5813;Roma UNINETTUNO - telematica;M;301
2017;5814;Roma  Mercatorum - telematica;F;24
2017;5814;Roma  Mercatorum - telematica;M;38
