medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Bronze,3,2022-02-07 00:00:00.0,McMORRIS M,McMORRIS Mark,M,../../../en/results/snowboard/athlete-profile-n1045875-mark-mcmorris.htm,Men's Snowboard Slopestyle,Canada,CAN,Snowboard,SBD
Gold,1,2022-02-07 00:00:00.0,WUST I,WUST Ireen,W,../../../en/results/speed-skating/athlete-profile-n1054343-ireen-wust.htm,Women's 1500m,Netherlands,NED,Speed Skating,SSK
Silver,2,2022-02-07 00:00:00.0,TAKAGI M,TAKAGI Miho,W,../../../en/results/speed-skating/athlete-profile-n1042262-miho-takagi.htm,Women's 1500m,Japan,JPN,Speed Skating,SSK
Bronze,3,2022-02-07 00:00:00.0,de JONG A,de JONG Antoinette,W,../../../en/results/speed-skating/athlete-profile-n1055940-antoinette-de-jong.htm,Women's 1500m,Netherlands,NED,Speed Skating,SSK
Gold,1,2022-02-08 00:00:00.0,MAYER M,MAYER Matthias,M,../../../en/results/alpine-skiing/athlete-profile-n1005388-matthias-mayer.htm,Men's Super-G,Austria,AUT,Alpine Skiing,ALP
Silver,2,2022-02-08 00:00:00.0,COCHRAN-SIEGLE R,COCHRAN-SIEGLE Ryan,M,../../../en/results/alpine-skiing/athlete-profile-n1041237-ryan-cochran-siegle.htm,Men's Super-G,United States of America,USA,Alpine Skiing,ALP
Bronze,3,2022-02-08 00:00:00.0,KILDE AA,KILDE Aleksander Aamodt,M,../../../en/results/alpine-skiing/athlete-profile-n1031307-aleksander-aamodt-kilde.htm,Men's Super-G,Norway,NOR,Alpine Skiing,ALP
Gold,1,2022-02-08 00:00:00.0,FILLON MAILLET Q,FILLON MAILLET Quentin,M,../../../en/results/biathlon/athlete-profile-n1035791-quentin-fillon-maillet.htm,Men's 20km Individual,France,FRA,Biathlon,BTH
Silver,2,2022-02-08 00:00:00.0,SMOLSKI A,SMOLSKI Anton,M,../../../en/results/biathlon/athlete-profile-n1000203-anton-smolski.htm,Men's 20km Individual,Belarus,BLR,Biathlon,BTH
Bronze,3,2022-02-08 00:00:00.0,BOE JT,BOE Johannes Thingnes,M,../../../en/results/biathlon/athlete-profile-n1031965-johannes-thingnes-boe.htm,Men's 20km Individual,Norway,NOR,Biathlon,BTH
Gold,1,2022-02-08 00:00:00.0,KLAEBO JH,KLAEBO Johannes Hoesflot,M,../../../en/results/cross-country-skiing/athlete-profile-n1032194-johannes-hoesflot-klaebo.htm,Men's Sprint Free,Norway,NOR,Cross-Country Skiing,CCS
Silver,2,2022-02-08 00:00:00.0,PELLEGRINO F,PELLEGRINO Federico,M,../../../en/results/cross-country-skiing/athlete-profile-n1037113-federico-pellegrino.htm,Men's Sprint Free,Italy,ITA,Cross-Country Skiing,CCS
Bronze,3,2022-02-08 00:00:00.0,TERENTEV A,TERENTEV Alexander,M,../../../en/results/cross-country-skiing/athlete-profile-n1036642-alexander-terentev.htm,Men's Sprint Free,ROC,ROC,Cross-Country Skiing,CCS
Gold,1,2022-02-08 00:00:00.0,SUNDLING J,SUNDLING Jonna,W,../../../en/results/cross-country-skiing/athlete-profile-n1044362-jonna-sundling.htm,Women's Sprint Free,Sweden,SWE,Cross-Country Skiing,CCS
Silver,2,2022-02-08 00:00:00.0,DAHLQVIST M,DAHLQVIST Maja,W,../../../en/results/cross-country-skiing/athlete-profile-n1044318-maja-dahlqvist.htm,Women's Sprint Free,Sweden,SWE,Cross-Country Skiing,CCS
Bronze,3,2022-02-08 00:00:00.0,DIGGINS J,DIGGINS Jessie,W,../../../en/results/cross-country-skiing/athlete-profile-n1041359-jessie-diggins.htm,Women's Sprint Free,United States of America,USA,Cross-Country Skiing,CCS
Gold,1,2022-02-08 00:00:00.0,MOSANER A,MOSANER Amos,X,../../../en/results/curling/athlete-profile-n1037082-amos-mosaner.htm,Mixed Doubles,Italy,ITA,Curling,CUR
Gold,1,2022-02-08 00:00:00.0,CONSTANTINI S,CONSTANTINI Stefania,X,../../../en/results/curling/athlete-profile-n1037087-stefania-constantini.htm,Mixed Doubles,Italy,ITA,Curling,CUR
Silver,2,2022-02-08 00:00:00.0,SKASLIEN K,SKASLIEN Kristin,X,../../../en/results/curling/athlete-profile-n1031397-kristin-skaslien.htm,Mixed Doubles,Norway,NOR,Curling,CUR
Silver,2,2022-02-08 00:00:00.0,NEDREGOTTEN M,NEDREGOTTEN Magnus,X,../../../en/results/curling/athlete-profile-n1031404-magnus-nedregotten.htm,Mixed Doubles,Norway,NOR,Curling,CUR
Bronze,3,2022-02-08 00:00:00.0,ERIKSSON O,ERIKSSON Oskar,X,../../../en/results/curling/athlete-profile-n1035391-oskar-eriksson.htm,Mixed Doubles,Sweden,SWE,Curling,CUR
Bronze,3,2022-02-08 00:00:00.0,DE VAL A,DE VAL Almida,X,../../../en/results/curling/athlete-profile-n1035397-almida-de-val.htm,Mixed Doubles,Sweden,SWE,Curling,CUR
Gold,1,2022-02-08 00:00:00.0,GU AE,GU Ailing Eileen,W,../../../en/results/freestyle-skiing/athlete-profile-n1058695-ailing-eileen-gu.htm,Women's Freeski Big Air,People's Republic of China,CHN,Freestyle Skiing,FRS
Silver,2,2022-02-08 00:00:00.0,LEDEUX T,LEDEUX Tess,W,../../../en/results/freestyle-skiing/athlete-profile-n1035841-tess-ledeux.htm,Women's Freeski Big Air,France,FRA,Freestyle Skiing,FRS
Bronze,3,2022-02-08 00:00:00.0,GREMAUD M,GREMAUD Mathilde,W,../../../en/results/freestyle-skiing/athlete-profile-n1048392-mathilde-gremaud.htm,Women's Freeski Big Air,Switzerland,SUI,Freestyle Skiing,FRS
Gold,1,2022-02-08 00:00:00.0,GEISENBERGER N,GEISENBERGER Natalie,W,../../../en/results/luge/athlete-profile-n1014524-natalie-geisenberger.htm,Women's Singles,Germany,GER,Luge,LUG
Silver,2,2022-02-08 00:00:00.0,BERREITER A,BERREITER Anna,W,../../../en/results/luge/athlete-profile-n1014534-anna-berreiter.htm,Women's Singles,Germany,GER,Luge,LUG
Bronze,3,2022-02-08 00:00:00.0,IVANOVA T,IVANOVA Tatyana,W,../../../en/results/luge/athlete-profile-n1016387-tatyana-ivanova.htm,Women's Singles,ROC,ROC,Luge,LUG
Gold,1,2022-02-08 00:00:00.0,KARL B,KARL Benjamin,M,../../../en/results/snowboard/athlete-profile-n1005469-benjamin-karl.htm,Men's Parallel Giant Slalom,Austria,AUT,Snowboard,SBD
Silver,2,2022-02-08 00:00:00.0,MASTNAK T,MASTNAK Tim,M,../../../en/results/snowboard/athlete-profile-n1051179-tim-mastnak.htm,Men's Parallel Giant Slalom,Slovenia,SLO,Snowboard,SBD
Bronze,3,2022-02-08 00:00:00.0,WILD V,WILD Victor,M,../../../en/results/snowboard/athlete-profile-n1036840-victor-wild.htm,Men's Parallel Giant Slalom,ROC,ROC,Snowboard,SBD
Gold,1,2022-02-08 00:00:00.0,LEDECKA E,LEDECKA Ester,W,../../../en/results/snowboard/athlete-profile-n1013893-ester-ledecka.htm,Women's Parallel Giant Slalom,Czech Republic,CZE,Snowboard,SBD
Silver,2,2022-02-08 00:00:00.0,ULBING D,ULBING Daniela,W,../../../en/results/snowboard/athlete-profile-n1005487-daniela-ulbing.htm,Women's Parallel Giant Slalom,Austria,AUT,Snowboard,SBD
Bronze,3,2022-02-08 00:00:00.0,KOTNIK G,KOTNIK Gloria,W,../../../en/results/snowboard/athlete-profile-n1050943-gloria-kotnik.htm,Women's Parallel Giant Slalom,Slovenia,SLO,Snowboard,SBD
Gold,1,2022-02-08 00:00:00.0,NUIS K,NUIS Kjeld,M,../../../en/results/speed-skating/athlete-profile-n1054303-kjeld-nuis.htm,Men's 1500m,Netherlands,NED,Speed Skating,SSK
Silver,2,2022-02-08 00:00:00.0,KROL T,KROL Thomas,M,../../../en/results/speed-skating/athlete-profile-n1055968-thomas-krol.htm,Men's 1500m,Netherlands,NED,Speed Skating,SSK
Bronze,3,2022-02-08 00:00:00.0,KIM M,KIM Minseok,M,../../../en/results/speed-skating/athlete-profile-n1036445-minseok-kim.htm,Men's 1500m,Republic of Korea,KOR,Speed Skating,SSK
Gold,1,2022-02-09 00:00:00.0,VLHOVA P,VLHOVA Petra,W,../../../en/results/alpine-skiing/athlete-profile-n1054100-petra-vlhova.htm,Women's Slalom,Slovakia,SVK,Alpine Skiing,ALP
Silver,2,2022-02-09 00:00:00.0,LIENSBERGER K,LIENSBERGER Katharina,W,../../../en/results/alpine-skiing/athlete-profile-n1005319-katharina-liensberger.htm,Women's Slalom,Austria,AUT,Alpine Skiing,ALP
Bronze,3,2022-02-09 00:00:00.0,HOLDENER W,HOLDENER Wendy,W,../../../en/results/alpine-skiing/athlete-profile-n1048557-wendy-holdener.htm,Women's Slalom,Switzerland,SUI,Alpine Skiing,ALP
Gold,1,2022-02-09 00:00:00.0,RUUD B,RUUD Birk,M,../../../en/results/freestyle-skiing/athlete-profile-n1031509-birk-ruud.htm,Men's Freeski Big Air,Norway,NOR,Freestyle Skiing,FRS
Silver,2,2022-02-09 00:00:00.0,STEVENSON C,STEVENSON Colby,M,../../../en/results/freestyle-skiing/athlete-profile-n1044687-colby-stevenson.htm,Men's Freeski Big Air,United States of America,USA,Freestyle Skiing,FRS
Bronze,3,2022-02-09 00:00:00.0,HARLAUT H,HARLAUT Henrik,M,../../../en/results/freestyle-skiing/athlete-profile-n1037400-henrik-harlaut.htm,Men's Freeski Big Air,Sweden,SWE,Freestyle Skiing,FRS
Gold,1,2022-02-09 00:00:00.0,WENDL T,WENDL Tobias,O,../../../en/results/luge/athlete-profile-n1014528-tobias-wendl.htm,Doubles,Germany,GER,Luge,LUG
Gold,1,2022-02-09 00:00:00.0,ARLT T,ARLT Tobias,O,../../../en/results/luge/athlete-profile-n1014521-tobias-arlt.htm,Doubles,Germany,GER,Luge,LUG
Silver,2,2022-02-09 00:00:00.0,BENECKEN S,BENECKEN Sascha,O,../../../en/results/luge/athlete-profile-n1014522-sascha-benecken.htm,Doubles,Germany,GER,Luge,LUG
Silver,2,2022-02-09 00:00:00.0,EGGERT T,EGGERT Toni,O,../../../en/results/luge/athlete-profile-n1014523-toni-eggert.htm,Doubles,Germany,GER,Luge,LUG
Bronze,3,2022-02-09 00:00:00.0,KOLLER L,KOLLER Lorenz,O,../../../en/results/luge/athlete-profile-n1004368-lorenz-koller.htm,Doubles,Austria,AUT,Luge,LUG
Bronze,3,2022-02-09 00:00:00.0,STEU T,STEU Thomas,O,../../../en/results/luge/athlete-profile-n1004374-thomas-steu.htm,Doubles,Austria,AUT,Luge,LUG
Gold,1,2022-02-09 00:00:00.0,GEIGER V,GEIGER Vinzenz,M,../../../en/results/nordic-combined/athlete-profile-n1012744-vinzenz-geiger.htm,Individual Gundersen Normal Hill/10km,Germany,GER,Nordic Combined,NCB
Silver,2,2022-02-09 00:00:00.0,GRAABAK J,GRAABAK Joergen,M,../../../en/results/nordic-combined/athlete-profile-n1013776-joergen-graabak.htm,Individual Gundersen Normal Hill/10km,Norway,NOR,Nordic Combined,NCB
Bronze,3,2022-02-09 00:00:00.0,GREIDERER L,GREIDERER Lukas,M,../../../en/results/nordic-combined/athlete-profile-n1005617-lukas-greiderer.htm,Individual Gundersen Normal Hill/10km,Austria,AUT,Nordic Combined,NCB
Gold,1,2022-02-09 00:00:00.0,HWANG D,HWANG Daeheon,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036469-daeheon-hwang.htm,Men's 1500m,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-09 00:00:00.0,DUBOIS S,DUBOIS Steven,M,../../../en/results/short-track-speed-skating/athlete-profile-n1038574-steven-dubois.htm,Men's 1500m,Canada,CAN,Short Track Speed Skating,STK
Bronze,3,2022-02-09 00:00:00.0,ELISTRATOV S,ELISTRATOV Semen,M,../../../en/results/short-track-speed-skating/athlete-profile-n1037935-semen-elistratov.htm,Men's 1500m,ROC,ROC,Short Track Speed Skating,STK
Gold,1,2022-02-09 00:00:00.0,JACOBELLIS L,JACOBELLIS Lindsey,W,../../../en/results/snowboard/athlete-profile-n1044749-lindsey-jacobellis.htm,Women's Snowboard Cross,United States of America,USA,Snowboard,SBD
Silver,2,2022-02-09 00:00:00.0,TRESPEUCH C,TRESPEUCH Chloe,W,../../../en/results/snowboard/athlete-profile-n1035872-chloe-trespeuch.htm,Women's Snowboard Cross,France,FRA,Snowboard,SBD
Bronze,3,2022-02-09 00:00:00.0,ODINE M,ODINE Meryeta,W,../../../en/results/snowboard/athlete-profile-n1045866-meryeta-odine.htm,Women's Snowboard Cross,Canada,CAN,Snowboard,SBD
Gold,1,2022-02-10 00:00:00.0,STROLZ J,STROLZ Johannes,M,../../../en/results/alpine-skiing/athlete-profile-n1167459-johannes-strolz.htm,Men's Alpine Combined,Austria,AUT,Alpine Skiing,ALP
Silver,2,2022-02-10 00:00:00.0,KILDE AA,KILDE Aleksander Aamodt,M,../../../en/results/alpine-skiing/athlete-profile-n1031307-aleksander-aamodt-kilde.htm,Men's Alpine Combined,Norway,NOR,Alpine Skiing,ALP
Bronze,3,2022-02-10 00:00:00.0,CRAWFORD J,CRAWFORD James,M,../../../en/results/alpine-skiing/athlete-profile-n1045541-james-crawford.htm,Men's Alpine Combined,Canada,CAN,Alpine Skiing,ALP
Gold,1,2022-02-10 00:00:00.0,JOHAUG T,JOHAUG Therese,W,../../../en/results/cross-country-skiing/athlete-profile-n1032178-therese-johaug.htm,Women's 10km Classic,Norway,NOR,Cross-Country Skiing,CCS
Silver,2,2022-02-10 00:00:00.0,NISKANEN K,NISKANEN Kerttu,W,../../../en/results/cross-country-skiing/athlete-profile-n1013060-kerttu-niskanen.htm,Women's 10km Classic,Finland,FIN,Cross-Country Skiing,CCS
Bronze,3,2022-02-10 00:00:00.0,PARMAKOSKI K,PARMAKOSKI Krista,W,../../../en/results/cross-country-skiing/athlete-profile-n1013066-krista-parmakoski.htm,Women's 10km Classic,Finland,FIN,Cross-Country Skiing,CCS
Gold,1,2022-02-10 00:00:00.0,CHEN N,CHEN Nathan,M,../../../en/results/figure-skating/athlete-profile-n1035167-nathan-chen.htm,Men Single Skating,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-10 00:00:00.0,KAGIYAMA Y,KAGIYAMA Yuma,M,../../../en/results/figure-skating/athlete-profile-n1038836-yuma-kagiyama.htm,Men Single Skating,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-10 00:00:00.0,UNO S,UNO Shoma,M,../../../en/results/figure-skating/athlete-profile-n1038835-shoma-uno.htm,Men Single Skating,Japan,JPN,Figure Skating,FSK
Gold,1,2022-02-10 00:00:00.0,CALDWELL A,CALDWELL Ashley,X,../../../en/results/freestyle-skiing/athlete-profile-n1044668-ashley-caldwell.htm,Mixed Team Aerials,United States of America,USA,Freestyle Skiing,FRS
Gold,1,2022-02-10 00:00:00.0,LILLIS C,LILLIS Christopher,X,../../../en/results/freestyle-skiing/athlete-profile-n1044684-christopher-lillis.htm,Mixed Team Aerials,United States of America,USA,Freestyle Skiing,FRS
Gold,1,2022-02-10 00:00:00.0,SCHOENEFELD J,SCHOENEFELD Justin,X,../../../en/results/freestyle-skiing/athlete-profile-n1044731-justin-schoenefeld.htm,Mixed Team Aerials,United States of America,USA,Freestyle Skiing,FRS
Silver,2,2022-02-10 00:00:00.0,JIA Z,JIA Zongyang,X,../../../en/results/freestyle-skiing/athlete-profile-n1059125-zongyang-jia.htm,Mixed Team Aerials,People's Republic of China,CHN,Freestyle Skiing,FRS
Silver,2,2022-02-10 00:00:00.0,XU M,XU Mengtao,X,../../../en/results/freestyle-skiing/athlete-profile-n1059131-mengtao-xu.htm,Mixed Team Aerials,People's Republic of China,CHN,Freestyle Skiing,FRS
Silver,2,2022-02-10 00:00:00.0,QI G,QI Guangpu,X,../../../en/results/freestyle-skiing/athlete-profile-n1059126-guangpu-qi.htm,Mixed Team Aerials,People's Republic of China,CHN,Freestyle Skiing,FRS
Bronze,3,2022-02-10 00:00:00.0,IRVING L,IRVING Lewis,X,../../../en/results/freestyle-skiing/athlete-profile-n1037608-lewis-irving.htm,Mixed Team Aerials,Canada,CAN,Freestyle Skiing,FRS
Bronze,3,2022-02-10 00:00:00.0,THENAULT M,THENAULT Marion,X,../../../en/results/freestyle-skiing/athlete-profile-n1037629-marion-thenault.htm,Mixed Team Aerials,Canada,CAN,Freestyle Skiing,FRS
Bronze,3,2022-02-10 00:00:00.0,FONTAINE M,FONTAINE Miha,X,../../../en/results/freestyle-skiing/athlete-profile-n1037645-miha-fontaine.htm,Mixed Team Aerials,Canada,CAN,Freestyle Skiing,FRS
Gold,1,2022-02-10 00:00:00.0,ARLT T,ARLT Tobias,X,../../../en/results/luge/athlete-profile-n1014521-tobias-arlt.htm,Team Relay,Germany,GER,Luge,LUG
Gold,1,2022-02-10 00:00:00.0,WENDL T,WENDL Tobias,X,../../../en/results/luge/athlete-profile-n1014528-tobias-wendl.htm,Team Relay,Germany,GER,Luge,LUG
Gold,1,2022-02-10 00:00:00.0,GEISENBERGER N,GEISENBERGER Natalie,X,../../../en/results/luge/athlete-profile-n1014524-natalie-geisenberger.htm,Team Relay,Germany,GER,Luge,LUG
Gold,1,2022-02-10 00:00:00.0,LUDWIG J,LUDWIG Johannes,X,../../../en/results/luge/athlete-profile-n1014530-johannes-ludwig.htm,Team Relay,Germany,GER,Luge,LUG
Silver,2,2022-02-10 00:00:00.0,STEU T,STEU Thomas,X,../../../en/results/luge/athlete-profile-n1004374-thomas-steu.htm,Team Relay,Austria,AUT,Luge,LUG
Silver,2,2022-02-10 00:00:00.0,KOLLER L,KOLLER Lorenz,X,../../../en/results/luge/athlete-profile-n1004368-lorenz-koller.htm,Team Relay,Austria,AUT,Luge,LUG
Silver,2,2022-02-10 00:00:00.0,EGLE M,EGLE Madeleine,X,../../../en/results/luge/athlete-profile-n1004361-madeleine-egle.htm,Team Relay,Austria,AUT,Luge,LUG
Silver,2,2022-02-10 00:00:00.0,KINDL W,KINDL Wolfgang,X,../../../en/results/luge/athlete-profile-n1004367-wolfgang-kindl.htm,Team Relay,Austria,AUT,Luge,LUG
Bronze,3,2022-02-10 00:00:00.0,TIRUMA E,TIRUMA Eliza,X,../../../en/results/luge/athlete-profile-n1037157-eliza-tiruma.htm,Team Relay,Latvia,LAT,Luge,LUG
Bronze,3,2022-02-10 00:00:00.0,APARJODS K,APARJODS Kristers,X,../../../en/results/luge/athlete-profile-n1037161-kristers-aparjods.htm,Team Relay,Latvia,LAT,Luge,LUG
Bronze,3,2022-02-10 00:00:00.0,BOTS M,BOTS Martins,X,../../../en/results/luge/athlete-profile-n1037167-martins-bots.htm,Team Relay,Latvia,LAT,Luge,LUG
Bronze,3,2022-02-10 00:00:00.0,PLUME R,PLUME Roberts,X,../../../en/results/luge/athlete-profile-n1037168-roberts-plume.htm,Team Relay,Latvia,LAT,Luge,LUG
Gold,1,2022-02-10 00:00:00.0,HAEMMERLE A,HAEMMERLE Alessandro,M,../../../en/results/snowboard/athlete-profile-n1005465-alessandro-haemmerle.htm,Men's Snowboard Cross,Austria,AUT,Snowboard,SBD
Silver,2,2022-02-10 00:00:00.0,GRONDIN E,GRONDIN Eliot,M,../../../en/results/snowboard/athlete-profile-n1045850-eliot-grondin.htm,Men's Snowboard Cross,Canada,CAN,Snowboard,SBD
Bronze,3,2022-02-10 00:00:00.0,VISINTIN O,VISINTIN Omar,M,../../../en/results/snowboard/athlete-profile-n1015405-omar-visintin.htm,Men's Snowboard Cross,Italy,ITA,Snowboard,SBD
Gold,1,2022-02-10 00:00:00.0,KIM C,KIM Chloe,W,../../../en/results/snowboard/athlete-profile-n1044682-chloe-kim.htm,Women's Snowboard Halfpipe,United States of America,USA,Snowboard,SBD
Silver,2,2022-02-10 00:00:00.0,CASTELLET Q,CASTELLET Queralt,W,../../../en/results/snowboard/athlete-profile-n1043354-queralt-castellet.htm,Women's Snowboard Halfpipe,Spain,ESP,Snowboard,SBD
Bronze,3,2022-02-10 00:00:00.0,TOMITA S,TOMITA Sena,W,../../../en/results/snowboard/athlete-profile-n1043828-sena-tomita.htm,Women's Snowboard Halfpipe,Japan,JPN,Snowboard,SBD
Gold,1,2022-02-10 00:00:00.0,SCHOUTEN I,SCHOUTEN Irene,W,../../../en/results/speed-skating/athlete-profile-n1054311-irene-schouten.htm,Women's 5000m,Netherlands,NED,Speed Skating,SSK
Silver,2,2022-02-10 00:00:00.0,WEIDEMANN I,WEIDEMANN Isabelle,W,../../../en/results/speed-skating/athlete-profile-n1038481-isabelle-weidemann.htm,Women's 5000m,Canada,CAN,Speed Skating,SSK
Bronze,3,2022-02-10 00:00:00.0,SABLIKOVA M,SABLIKOVA Martina,W,../../../en/results/speed-skating/athlete-profile-n1034997-martina-sablikova.htm,Women's 5000m,Czech Republic,CZE,Speed Skating,SSK
Gold,1,2022-02-11 00:00:00.0,GUT-BEHRAMI L,GUT-BEHRAMI Lara,W,../../../en/results/alpine-skiing/athlete-profile-n1048401-lara-gut-behrami.htm,Women's Super-G,Switzerland,SUI,Alpine Skiing,ALP
Silver,2,2022-02-11 00:00:00.0,PUCHNER M,PUCHNER Mirjam,W,../../../en/results/alpine-skiing/athlete-profile-n1005326-mirjam-puchner.htm,Women's Super-G,Austria,AUT,Alpine Skiing,ALP
Bronze,3,2022-02-11 00:00:00.0,GISIN M,GISIN Michelle,W,../../../en/results/alpine-skiing/athlete-profile-n1048385-michelle-gisin.htm,Women's Super-G,Switzerland,SUI,Alpine Skiing,ALP
Gold,1,2022-02-11 00:00:00.0,ROEISELAND MO,ROEISELAND Marte Olsbu,W,../../../en/results/biathlon/athlete-profile-n1031950-marte-olsbu-roeiseland.htm,Women's 7.5km Sprint,Norway,NOR,Biathlon,BTH
Silver,2,2022-02-11 00:00:00.0,OEBERG E,OEBERG Elvira,W,../../../en/results/biathlon/athlete-profile-n1051465-elvira-oeberg.htm,Women's 7.5km Sprint,Sweden,SWE,Biathlon,BTH
Bronze,3,2022-02-11 00:00:00.0,WIERER D,WIERER Dorothea,W,../../../en/results/biathlon/athlete-profile-n1037152-dorothea-wierer.htm,Women's 7.5km Sprint,Italy,ITA,Biathlon,BTH
Gold,1,2022-02-11 00:00:00.0,NISKANEN I,NISKANEN Iivo,M,../../../en/results/cross-country-skiing/athlete-profile-n1035599-iivo-niskanen.htm,Men's 15km Classic,Finland,FIN,Cross-Country Skiing,CCS
Silver,2,2022-02-11 00:00:00.0,BOLSHUNOV A,BOLSHUNOV Alexander,M,../../../en/results/cross-country-skiing/athlete-profile-n1036630-alexander-bolshunov.htm,Men's 15km Classic,ROC,ROC,Cross-Country Skiing,CCS
Bronze,3,2022-02-11 00:00:00.0,KLAEBO JH,KLAEBO Johannes Hoesflot,M,../../../en/results/cross-country-skiing/athlete-profile-n1032194-johannes-hoesflot-klaebo.htm,Men's 15km Classic,Norway,NOR,Cross-Country Skiing,CCS
Gold,1,2022-02-11 00:00:00.0,SCHULTING S,SCHULTING Suzanne,W,../../../en/results/short-track-speed-skating/athlete-profile-n1054312-suzanne-schulting.htm,Women's 1000m,Netherlands,NED,Short Track Speed Skating,STK
Silver,2,2022-02-11 00:00:00.0,CHOI M,CHOI Minjeong,W,../../../en/results/short-track-speed-skating/athlete-profile-n1036478-minjeong-choi.htm,Women's 1000m,Republic of Korea,KOR,Short Track Speed Skating,STK
Bronze,3,2022-02-11 00:00:00.0,DESMET H,DESMET Hanne,W,../../../en/results/short-track-speed-skating/athlete-profile-n1045303-hanne-desmet.htm,Women's 1000m,Belgium,BEL,Short Track Speed Skating,STK
Gold,1,2022-02-11 00:00:00.0,GROTHEER C,GROTHEER Christopher,M,../../../en/results/skeleton/athlete-profile-n1014508-christopher-grotheer.htm,Men,Germany,GER,Skeleton,SKN
Silver,2,2022-02-11 00:00:00.0,JUNGK A,JUNGK Axel,M,../../../en/results/skeleton/athlete-profile-n1014511-axel-jungk.htm,Men,Germany,GER,Skeleton,SKN
Bronze,3,2022-02-11 00:00:00.0,YAN W,YAN Wengang,M,../../../en/results/skeleton/athlete-profile-n1058032-wengang-yan.htm,Men,People's Republic of China,CHN,Skeleton,SKN
Gold,1,2022-02-11 00:00:00.0,HIRANO A,HIRANO Ayumu,M,../../../en/results/snowboard/athlete-profile-n1043821-ayumu-hirano.htm,Men's Snowboard Halfpipe,Japan,JPN,Snowboard,SBD
Silver,2,2022-02-11 00:00:00.0,JAMES S,JAMES Scotty,M,../../../en/results/snowboard/athlete-profile-n1046492-scotty-james.htm,Men's Snowboard Halfpipe,Australia,AUS,Snowboard,SBD
